Symbol,Market_cap,Enterprise_value,Price_to_sale,Price_to_book,Value_to_revenue,Value_to_EBITDA,Profit_margin,Operating_margin,Return_on_asset,Return_on_equity,Revenue,Revenue_per_share,Quarterly_revenue_growth,Gross_profit,EBITDA,Netincome_avi_to_common,Dilutted_eps,Total_cash,Total_cash_per_share,Total_debt,Total_debt_to_equity,Current_ratio,Book_value_per_share,Operating_cash_flow,Levered_Free_cash_flow,current_price,last_quarter_price,last_year_price
CTMX,332120000.0,89260000.0,4.19,2.54,5.08,-4.06,-1.0885,-1.0911,-0.121,-0.9025,66220000.0,1.11,-0.011000000000000001,100360000.0,-69560000.0,-72080000.0,-1.21,236290000.0,3.62,22530000.0,20.17,2.41,1.71,-105270000.0,-19390000.0,5.090000152587891,6.329999923706055,6.650000095367432
CTRE,1960000000.0,2890000000.0,10.63,2.1,60.2,91.63,0.4004,0.5855,0.0441,0.0816,186750000.0,1.95,0.064,173630000.0,163960000.0,74350000.0,0.78,17720000.0,0.18,676740000.0,73.75,0.74,9.53,155710000.0,106580000.0,20.31999969482422,22.931745529174805,16.98082160949707
CTRM,230850000.0,240090000.0,3.02,0.74,5.55,11.41,0.2917,0.32049999999999995,0.061200000000000004,0.11689999999999999,76420000.0,1.2,14.504000000000001,4590000.0,32900000.0,22290000.0,0.351,36290000.0,0.38,82440000.0,25.12,1.85,3.47,26490000.0,-313580000.0,2.440000057220459,2.6050000190734863,1.5399999618530273
CTSH,38960000000.0,38840000000.0,2.27,3.48,8.19,44.24,0.1048,0.1452,0.09029999999999999,0.1655,17910000000.0,33.93,0.11800000000000001,6060000000.0,3150000000.0,1880000000.0,3.55,2410000000.0,4.59,1680000000.0,14.53,2.11,21.99,2570000000.0,1640000000.0,73.9900894165039,68.8386001586914,68.35160827636719
CTSO,353020000.0,300680000.0,7.71,4.75,30.81,-58.17,-0.3593,-0.3567,-0.0992,-0.2112,44340000.0,1.02,-0.075,29950000.0,-15130000.0,-15930000.0,-0.368,61040000.0,1.4,13650000.0,19.33,6.57,1.62,-9570000.0,-7170000.0,8.119999885559082,7.550000190734863,7.974999904632568
CTXS,13380000000.0,16530000000.000002,4.27,45.69,21.23,96.15,0.09970000000000001,0.1338,0.047599999999999996,1.3518000000000001,3180000000.0,25.69,0.015,2770000000.0,613750000.0,316690000.0,2.52,449660000.0,3.61,3510000000.0,877.97,0.66,3.21,632820000.0,773110000.0,107.37000274658203,116.86292266845703,136.0520477294922
CUE,460880000.0,391830000.0,81.0,6.32,163.6,-30.85,0.0,-6.5333000000000006,-0.3153,-0.6206,7160000.0,0.23,2.4019999999999997,-30390000.0,-45590000.0,-46880000.0,-1.52,67630000.0,2.13,3630000.0,5.72,4.57,2.03,-35190000.0,-13290000.0,14.569999694824219,11.649999618530273,15.050000190734863
CUEN,43050000.0,36980000.0,51.58,4.56,339.31,-18.94,0.0,-13.2568,-0.4764,-1.1568,662000.0,0.05,-0.187,-139000.0,-8780000.0,-9030000.0,-0.619,8750000.0,0.58,185000.0,1.56,3.04,0.8,-7590000.0,-4030000.0000000005,2.890000104904175,6.21999979019165,5.300000190734863
CUTR,836540000.0,818560000.0,4.55,15.68,14.26,5570.0,0.038,0.028300000000000002,0.0195,0.1525,215580000.0,12.1,0.466,75770000.0,7460000.0,8189999.999999999,0.45,162490000.0,9.05,151370000.0,273.51,3.83,3.08,3040000.0,6940000.0,46.599998474121094,49.029998779296875,18.969999313354492
CVAC,14630000000.0,13570000000.0,239.47,15.62,2250.0,-273.15,-2.6420999999999997,-2.7327,-0.1017,-0.38630000000000003,48870000.0,0.37,-0.114,34750000.0,-127730000.0,-129120000.0,-1.11,1330000000.0,7.34,55280000.0,7.77,5.61,3.94,522400000.0,57920000.0,54.619998931884766,73.4800033569336,46.54999923706055
CVCO,2170000000.0,1850000000.0,1.86,3.11,5.15,36.4,0.08529999999999999,0.1015,0.08410000000000001,0.1595,1290000000.0,139.74,0.39399999999999996,218590000.0,136790000.0,109580000.0,11.79,243160000.0,26.5,37590000.0,5.12,2.24,79.89,119510000.0,18150000.0,236.74000549316406,222.19000244140625,180.30999755859375
CVET,2500000000.0,3340000000.0,0.52,1.66,2.87,77.66,-0.012,-0.0026,-0.0022,-0.0355,4580000000.0,33.46,0.032,798000000.0,158000000.0,-56000000.0,-0.41,187000000.0,1.36,1210000000.0,79.28,1.89,10.9,100000000.0,130000000.0,18.139999389648438,27.0,24.399999618530273
CVGW,996310000.0,1100000000.0,0.99,3.69,3.87,235.92,0.0072,0.0141,0.02,0.0274,1020000000.0,57.75,0.054000000000000006,89900000.0,31510000.0,7360000.0,0.41,1340000.0,0.08,104670000.0,40.36,1.57,14.58,20920000.0,20740000.0,37.19195556640625,61.68184280395508,63.444305419921875
CVLG,462240000.0,550310000.0,0.52,1.47,2.0,15.0,0.0177,0.0554,0.047400000000000005,0.1485,977000000.0,57.79,0.302,169120000.0,109670000.0,47880000.0,1.02,22190000.0,1.33,85030000.0,25.77,1.15,19.73,106320000.0,79340000.0,27.649999618530273,20.68000030517578,17.489999771118164
CVLT,3420000000.0,3080000000.0,4.83,9.64,17.32,553.19,0.0318,0.06849999999999999,0.038900000000000004,0.0655,740590000.0,15.94,0.039,614100000.0,61120000.0,23560000.0,0.5,295810000.0,6.5,19460000.0,6.49,1.42,6.61,144980000.0,150880000.0,75.30999755859375,78.16999816894531,40.79999923706055
CVV,30630000.0,27160000.0,2.1,1.27,6.27,4.39,0.042300000000000004,-0.36450000000000005,-0.0827,0.0212,14900000.0,2.23,0.084,2880000.0,-4480000.0,630920.0,0.094,17450000.0,2.61,1840000.0,6.08,4.11,4.53,-3520000.0,-2630000.0,4.579999923706055,4.5,3.059999942779541
CWCO,173400000.0,135440000.0,2.6,1.1,8.25,91.11,0.0019,0.0684,0.015600000000000001,0.0159,65370000.00000001,4.3,-0.071,26770000.0,11470000.0,2110000.0,-0.0,42900000.0,2.82,3080000.0,1.86,10.79,10.34,11280000.0,9240000.0,11.399999618530273,11.6433744430542,10.12380313873291
