Symbol,Market_cap,Enterprise_value,Price_to_sale,Price_to_book,Value_to_revenue,Value_to_EBITDA,Profit_margin,Operating_margin,Return_on_asset,Return_on_equity,Revenue,Revenue_per_share,Quarterly_revenue_growth,Gross_profit,EBITDA,Netincome_avi_to_common,Dilutted_eps,Total_cash,Total_cash_per_share,Total_debt,Total_debt_to_equity,Current_ratio,Book_value_per_share,Operating_cash_flow,Levered_Free_cash_flow,current_price,last_quarter_price,last_year_price
AAOI,195120000.0,305850000.0,0.77,0.7,5.74,-37.67,-0.25329999999999997,-0.2688,-0.0733,-0.2006,209480000.0,8.06,-0.305,50540000.0,-30730000.0,-53060000.0,-2.04,43530000.0,1.6,154020000.0,58.35,2.15,9.71,-25490000.0,-15280000.0,7.179999828338623,8.470000267028809,11.25
AAPL,2320000000000.0,2380000000000.0,6.94,36.16,28.6,88.61,0.2588,0.2978,0.2018,1.4744,365820000000.0,21.9,0.28800000000000003,152840000000.0,120230000000.0,94680000000.0,5.61,62640000000.0,3.82,136520000000.00002,216.39,1.08,3.84,104040000000.0,73300000000.0,141.29379272460938,136.55581665039062,114.9021987915039
AATC,39590000.0,31200000.0,2.94,1.92,9.53,33.26,0.22149999999999997,0.1467,0.0564,0.145,12920000.0,2.42,-0.127,10390000.0,2060000.0,2860000.0,0.54,8500000.0,1.58,111000.0,0.54,18.15,3.84,2530000.0,1560000.0,7.245084285736084,6.567469596862793,3.4539310932159424
AAWW,2370000000.0,4330000000.0,0.65,0.95,4.26,15.79,0.1317,0.16879999999999998,0.0664,0.2157,3800000000.0,133.42,0.255,1090000000.0,944600000.0,500540000.0,16.92,773910000.0,26.66,2620000000.0,99.88,0.8,90.41,835770000.0,196030000.0,81.68000030517578,68.11000061035156,60.900001525878906
ABMD,14810000000.0,14290000000.0,15.88,11.33,57.58,211.97,0.1532,0.2692,0.11460000000000001,0.1162,973640000.0,21.49,0.183,685620000.0,288180000.0,149150000.0,3.26,650560000.0,14.3,7850000.0,0.57,7.64,30.43,281540000.0,170230000.0,325.5199890136719,312.1099853515625,277.05999755859375
ABVC,61630000.0,66920000.0,108.49,44.8,676.01,-34.85,0.0,-22.1804,-0.6692,-3.1584,455780.0,0.02,-0.14300000000000002,464330.0,-10090000.0,-9750000.0,-0.418,3830000.0,0.14,3500000.0,46.13,2.07,0.31,-8710000.0,-6280000.0,2.309999942779541,5.050000190734863,4.0
ACAD,2670000000.0,2180000000.0,5.72,4.73,16.55,-152.19,-0.40380000000000005,-0.2954,-0.1158,-0.3135,474390000.0,2.97,0.092,154880000.0,-136500000.0,-191540000.0,-1.2,540290000.0,3.36,65830000.0,11.61,7.26,3.53,-130030000.0,-37920000.0,16.610000610351562,24.389999389648438,41.25
ACB,1360000000.0,1340000000.0,6.09,0.86,22.33,48.22,-2.5469999999999997,-1.1936,-0.0667,-0.2904,237770000.0,1.26,-0.111,-21560000.0,-205780000.0,-606700000.0,-2.49,375270000.0,1.89,406780000.0,20.09,5.42,10.22,-123980000.0,-161700000.0,6.920000076293945,9.039999961853027,4.650000095367432
ACCD,3140000000.0,3000000000.0,14.36,7.19,40.9,-47.27,-0.5744,-0.43670000000000003,-0.0819,-0.28600000000000003,230490000.0,4.62,0.992,76690000.0,-80950000.0,-132389999.99999999,-2.65,384000000.0,5.76,279850000.0,38.15,1.67,11.06,-40520000.0,160410000.0,42.16999816894531,54.310001373291016,38.869998931884766
ACET,250530000.0,62340000.0,26.93,1.1,18.18,-4.6,0.0,-4.8635,-0.14429999999999998,-0.3301,9670000.0,0.35,0.132,17900000.0,-45550000.0,-55140000.0,-2.01,192230000.0,6.01,20540000.0,9.45,9.94,6.8,-50950000.0,-36550000.0,7.840000152587891,10.289999961853027,11.890000343322754
ACHC,5680000000.0,7090000000.0,2.57,2.43,12.06,55.02,-0.2932,0.17379999999999998,0.042,0.0761,2260000000.0,25.56,0.07200000000000001,848170000.0,496470000.0,191520000.0,-7.49,196310000.0,2.18,1570000000.0,62.79,1.41,27.35,463200000.0,47270000.0,63.779998779296875,62.75,29.479999542236328
ACIW,3610000000.0,4630000000.0,2.85,3.06,14.62,70.34,0.0662,0.1332,0.034,0.0737,1290000000.0,10.99,0.003,676160000.0,231680000.0,85470000.0,0.72,141480000.0,1.2,1140000000.0,95.59,1.26,10.17,292140000.0,298300000.0,30.729999542236328,37.13999938964844,26.1299991607666
ACLS,1570000000.0,1400000000.0,3.15,3.18,7.92,36.69,0.134,0.1638,0.091,0.15960000000000002,578940000.0,17.22,0.6,198580000.0,100200000.0,77580000.0,2.25,271080000.0,8.14,55690000.0,10.88,4.16,15.32,106120000.0,62050000.0,47.029998779296875,40.41999816894531,22.0
ACMR,2150000000.0,2089999999.9999998,12.35,13.34,31.22,179.72,0.1462,0.11900000000000001,0.0408,0.1547,210170000.0,11.08,0.406,69600000.0,26890000.0,30720000.0,1.43,95250000.0,4.88,45230000.0,18.65,1.93,8.87,-9330000.0,-56730000.0,110.0,102.22000122070312,69.0999984741211
ACOR,51470000.0,192830000.0,0.27,0.27,6.13,-13.13,-1.2777,-0.6542,-0.09050000000000001,-0.6964,130259999.99999999,13.34,-0.40700000000000003,96780000.0,-49760000.0,-166440000.0,-17.041,36170000.0,3.23,188980000.0,114.9,1.42,14.7,-43140000.0,7840000.0,4.599999904632568,4.769999980926514,3.119999885559082
ACRS,1100000000.0,881790000.0,129.46,4.71,531.52,-45.92,0.0,-8.5162,-0.21710000000000002,-0.6346,6840000.0,0.13,0.145,-27990000.0,-57760000.0,-81660000.0,-1.55,197880000.0,3.23,3050000.0,1.41,11.54,3.54,-43920000.0,-21940000.0,18.0,17.559999465942383,2.569999933242798
ACTG,336730000.0,-32840000.000000004,8.25,2.49,-20.76,-0.35,0.8479000000000001,-0.7945,-0.0246,0.0969,29170000.0,0.6,-0.919,9640000.0,-14780000.0,6440000.0,0.132,642730000.0,12.96,183960000.0,63.22,3.27,4.51,-32770000.000000004,13320000.0,6.789999961853027,6.760000228881836,3.4700000286102295
ADAP,807420000.0,544700000.0,128.82,2.91,452.78,-13.37,0.0,-25.167600000000004,-0.23559999999999998,-0.505,6230000.0,0.04,0.008,-87610000.0,-150120000.0,-155840000.0,-1.002,240120000.0,1.54,25970000.0,10.78,7.3,1.54,-152420000.0,-105810000.0,5.170000076293945,4.260000228881836,7.980000019073486
ADBE,316190000000.0,315110000000.0,22.28,22.83,80.08,192.38,0.38670000000000004,0.3653,0.142,0.447,15100000000.0,31.56,0.22,11150000000.0,6100000000.0,5840000000.0,12.1,6160000000.0,12.95,4690000000.0,32.5,1.39,30.28,6950000000.0,5570000000.0,575.719970703125,585.6400146484375,490.42999267578125
ADES,120550000.0,92300000.0,1.48,1.04,3.2,2.97,0.6255,0.0608,0.019799999999999998,0.4882,87940000.0,4.83,0.48200000000000004,21160000.0,14230000.0,55010000.0,3.0,66140000.0,3.62,11310000.0,8.02,4.15,7.71,44240000.0,16090000.0,6.389999866485596,7.409999847412109,4.059999942779541
ADI,93240000000.0,96900000000.0,9.93,7.6,41.42,256.76,0.19,0.3331,0.041299999999999996,0.0556,7320000000.0,18.41,0.5329999999999999,5190000000.0,3510000000.0,1390000000.0,3.46,1980000000.0,4.09,6770000000.0,17.82,1.94,78.6,2740000000.0,1590000000.0,166.84097290039062,170.78155517578125,114.31967163085938
ADMA,150030000.0,208960000.0,2.08,1.4,10.1,-16.08,-1.0859999999999999,-0.7896,-0.1578,-0.8545,68520000.0,0.58,1.012,-11570000.0,-48890000.0,-74410000.0,-0.628,34410000.0,0.18,101780000.0,99.03,5.41,0.74,-111120000.0,-90140000.0,1.1299999952316284,1.600000023841858,2.390000104904175
ADMP,144420000.0,144420000.0,4.55,41.29,190.04,-27.95,0.0,-2.2883,-0.5721,-1.6876,17800000.0,0.14,-0.125,1630000.0,-37850000.0,-52200000.0,-0.421,28730000.0,0.19,775750.0,2.25,4.56,0.23,-36550000.0,-28990000.0,0.9700000286102295,1.100000023841858,0.7799999713897705
ADP,84370000000.0,85140000000.0,5.7,14.88,22.22,81.21,0.17550000000000002,0.2274,0.042699999999999995,0.4833,15370000000.0,36.2,0.10400000000000001,6770000000.0,4000000000.0,2700000000.0,6.32,1680000000.0,3.98,3480000000.0,65.01,1.05,12.68,2730000000.0,3380000000.0,199.9199981689453,197.71951293945312,136.7644805908203
ADPT,4790000000.0,4300000000.0,35.07,6.92,109.05,-81.51,-1.2989,-1.307,-0.11470000000000001,-0.2671,146600000.0,1.05,0.501,-40220000.0,-180150000.0,-190420000.0,-1.37,415040000.0,2.94,113150000.0,17.37,3.82,4.62,-178740000.0,-120850000.0,33.9900016784668,40.86000061035156,48.630001068115234
ADSK,69830000000.0,70990000000.0,17.47,52.59,63.05,302.33,0.3131,0.1613,0.0587,1.9555,4210000000.0,19.18,0.182,3480000000.0,778200000.0,1320000000.0,5.93,1790000000.0,8.15,3050000000.0,238.26,0.81,5.82,1470000000.0,1310000000.0,285.1700134277344,291.8999938964844,231.00999450683594
ADUS,1270000000.0,1370000000.0,1.57,2.33,6.32,65.77,0.048499999999999995,0.0843,0.054400000000000004,0.076,835850000.0,53.2,0.11699999999999999,227720000.0,84250000.0,40520000.0,2.53,152380000.0,9.66,263930000.0,47.29,2.66,35.41,50400000.0,61410000.0,79.75,87.23999786376953,94.51000213623047
ADV,2760000000.0,4640000000.0,0.74,1.13,4.99,36.15,-0.0361,0.050199999999999995,0.018000000000000002,-0.0583,3420000000.0,11.07,0.184,604190000.0,414250000.0,-123330000.0,-0.4,173930000.0,0.55,2040000000.0,79.72,1.68,7.73,156690000.0,252080000.0,8.649999618530273,10.789999961853027,10.15999984741211
ADXN,52990000.0,34020000.0,11.52,2.92,49.89,-9.72,-2.8108,-2.824,-0.4347,-0.8976000000000001,4640000.0,0.87,6.382000000000001,-6470000.0,-13370000.0,-13050000.0,-2.66,15490000.0,2.72,521220.0,3.91,5.33,2.35,-11060000.0,-6190000.0,9.010000228881836,9.559000015258789,12.270000457763672
AEHR,182640000.0,182880000.0,10.54,15.95,32.39,228.32,-0.0711,-0.1477,-0.0875,-0.10830000000000001,20230000.0,0.86,1.806,6030000.0,-2690000.0,-1440000.0,-0.06,6530000.0,0.25,1560000.0,10.98,2.48,0.58,-1470000.0,-165750.0,13.649999618530273,2.759999990463257,1.3899999856948853
AEIS,3320000000.0,3230000000.0,2.3,3.79,9.33,82.91,0.09570000000000001,0.1275,0.06559999999999999,0.1699,1430000000.0,37.34,-0.111,551600000.0,233870000.0,136750000.0,3.55,550760000.0,14.62,512880000.0,60.93,3.01,22.26,172750000.0,126520000.0,87.65164947509766,112.44831085205078,62.67087936401367
AEP,40880000000.0,77400000000.0,2.56,1.91,16.74,40.54,0.1459,0.2091,0.0259,0.1105,16340000000.0,32.77,0.13699999999999998,6970000000.0,6090000000.0,2380000000.0,4.76,1590000000.0,3.16,37910000000.0,168.29,0.58,44.24,3880000000.0,-1710000000.0,80.42528533935547,83.10943603515625,78.25540924072266
AEY,32520000.000000004,38500000.0,0.64,2.86,2.26,-21.56,-0.1485,-0.1487,-0.156,-0.6368,54670000.0,4.48,0.415,11680000.0,-6870000.0,-8119999.999999999,-0.667,3600000.0,0.29,10920000.0,113.5,1.33,0.77,-8180000.0,-4280000.0,2.359999895095825,2.619999885559082,1.9199999570846558
AEYE,125040000.0,100980000.0,4.96,5.41,16.28,-23.8,-0.5175,-0.5573,-0.342,-0.8462000000000001,23600000.0,2.2,0.161,14510000.0,-12300000.0,-12290000.0,-1.15,21950000.0,1.93,605000.0,2.95,2.78,1.81,-3330000.0,684380.0,11.029999732971191,16.790000915527344,14.59000015258789
AEZS,93190000.0,23440000.0,17.13,1.48,38.94,-14.11,-1.5634000000000001,-1.5644,-0.071,-0.17300000000000001,4150000.0000000005,0.04,3.7030000000000003,1330000.0,-6550000.0,-6490000.0,-0.068,68000000.0,0.56,200000.0,0.33,15.16,0.49,-3650000.0,-3240000.0,0.75,0.8799999952316284,0.3499999940395355
AFIB,247010000.0,210920000.0,17.75,3.26,45.84,-8.34,0.0,-7.239299999999999,-0.34159999999999996,-0.809,15470000.0,0.54,0.45,-7420000.0,-106190000.0,-115820000.0,-4.039,130449999.99999999,4.67,45200000.0,33.81,8.57,4.78,-101230000.0,-67930000.0,8.84000015258789,16.979999542236328,29.799999237060547
AFIN,992990000.0,2650000000.0,2.77,0.58,28.79,51.45,-0.0317,0.2147,0.012199999999999999,-0.0062,329920000.0,2.95,0.171,222980000.0,197620000.0,-31820000.0,-0.28,101020000.0,0.82,1790000000.0,101.11,5.71,14.35,123420000.0,117740000.0,7.841101169586182,8.060006141662598,5.67634916305542
AFMD,740350000.0,495100000.0,13.25,4.23,57.16,-29.9,-1.207,-1.2389000000000001,-0.19269999999999998,-0.5452,40850000.0,0.37,-0.165,28860000.0,-49960000.0,-49310000.0,-0.5,198740000.0,1.66,11150000.0,8.33,3.07,1.12,-43230000.0,-1430000.0,6.179999828338623,8.5,3.390000104904175
AFYA,1830000000.0,1960000000.0,7.1,3.35,4.32,12.3,0.1501,0.2823,0.0525,0.0874,1570000000.0,16.78,0.469,766540000.0,531039999.99999994,235100000.0,0.44,1040000000.0,11.18,2130000000.0,69.64,2.17,32.33,591290000.0,314120000.0,19.739999771118164,25.780000686645508,27.239999771118164
AGFS,113050000.0,464850000.0,0.67,0.46,9.45,25.81,-0.0673,0.0436,0.0058,-0.0269,161960000.0,3.16,-0.068,115430000.0,53380000.0,-35570000.0,-0.695,43320000.0,0.83,264160000.00000003,66.99,3.0,4.57,53030000.0,45410000.0,2.1600000858306885,2.0799999237060547,2.430000066757202
AGYS,1290000000.0,1230000000.0,8.57,15.25,32.52,640.39,-0.1564,-0.1389,-0.0718,-0.1978,149630000.0,6.27,0.10300000000000001,89380000.0,-18310000.0,-25230000.0,-1.06,106390000.0,4.35,11670000.0,9.47,2.57,3.59,33439999.999999996,42730000.0,52.36000061035156,56.869998931884766,24.15999984741211
AHCO,3050000000.0,4770000000.0,1.27,1.63,7.3,28.98,0.025099999999999997,0.1125,0.043899999999999995,0.0363,2100000000.0,19.16,1.297,191280000.0,441240000.0,40150000.0,-0.38,336650000.0,2.55,2390000000.0,119.96,1.64,15.06,225100000.0,55740000.0,23.290000915527344,27.40999984741211,21.809999465942383
AHPI,27690000.0,29060000.0,0.77,2.62,3.95,-34.6,0.0256,-0.04019999999999999,-0.045700000000000005,0.0935,33450000.000000004,8.33,-0.278,7110000.0,-816250.0,856560.0,0.21,261810.0,0.06,2310000.0,24.09,1.73,2.39,-840220.0,-186260.0,6.900000095367432,4.170000076293945,5.519999980926514
AIMC,3590000000.0,4730000000.0,1.94,1.75,10.08,51.27,0.07780000000000001,0.1353,0.0383,0.07400000000000001,1880000000.0,29.08,0.07200000000000001,622400000.0,378100000.0,146600000.0,2.25,256800000.0,3.96,1340000000.0,64.99,2.18,31.86,270800000.0,221660000.0,55.349998474121094,64.92935943603516,36.79738998413086
AIRG,127300000.0,110410000.0,2.05,2.57,7.14,-53.94,-0.1036,-0.1124,-0.0717,-0.1361,62960000.0,6.34,0.188,22590000.0,-4170000.0,-6520000.0,-0.66,18950000.0,1.88,3140000.0,6.57,1.96,4.73,-6690000.0,1940000.0,12.609999656677246,20.6200008392334,13.34000015258789
AIRT,82650000.0,174690000.0,0.47,6.02,4.04,18.33,0.023700000000000002,-0.023799999999999998,-0.0179,0.1519,182750000.0,63.41,0.214,28370000.0,-2290000.0,4330000.0,1.5,5170000.0,1.8,103660000.0,342.46,5.36,7.59,-18950000.0,-25430000.0,28.68000030517578,24.709999084472656,9.739999771118164
AKAM,16989999999.999998,18400000000.0,5.21,3.79,21.39,52.36,0.1777,0.22329999999999997,0.0608,0.1391,3400000000.0,20.88,0.085,2069999999.9999998,1130000000.0,604480000.0,3.64,1920000000.0,11.8,2850000000.0,62.09,3.78,28.21,1310000000.0,606100000.0,104.58999633789062,116.5999984741211,110.54000091552734
AKBA,502710000.0,379940000.0,1.96,2.88,7.79,-8.45,-1.42,-1.0712000000000002,-0.2207,-1.3147,210670000.0,1.33,-0.187,12860000.0,-189440000.0,-299160000.0,-1.887,207200000.0,1.18,123210000.0,89.84,1.75,0.79,-220940000.0,-85550000.0,2.880000114440918,3.7899999618530273,2.509999990463257
AKTS,504760000.0,416910000.0,63.65,4.3,223.19,-36.73,0.0,-5.5997,-0.29719999999999996,-0.6106,7850000.0,0.17,1.9369999999999998,-4030000.0000000005,-38820000.0,-45050000.0,-0.96,75680000.0,1.45,408000.0,0.36,10.48,2.16,-34140000.0,-29600000.0,9.699999809265137,10.710000038146973,8.15999984741211
AKU,224610000.0,715550000.0,0.89,1.66,10.3,107.5,-0.0748,0.1219,0.028300000000000002,-0.1561,264430000.0,3.76,0.489,73260000.0,47370000.0,-19790000.0,-0.29,74390000.0,0.84,622430000.0,786.88,2.74,1.05,21040000.0,31420000.0,2.4800000190734863,3.1500000953674316,3.25
ALBO,601400000.0,424970000.0,61.8,5.3,115.98,6.61,0.0,-11.2274,-0.2489,-0.2433,10770000.0,0.56,0.7190000000000001,8310000.000000001,-120720000.0,-47870000.0,-2.5,262610000.0,13.62,13070000.0,7.19,8.2,9.43,-121860000.0,-54740000.0,31.200000762939453,35.18000030517578,33.369998931884766
ALCO,267750000.0,399180000.0,2.65,1.2,11.44,9.82,0.48469999999999996,0.13140000000000002,0.0196,0.23199999999999998,109430000.0,14.58,0.336,18520000.0,29540000.0,53030000.0,7.07,31410000.0,4.17,130720000.0,51.85,2.19,32.8,13540000.0,-19210000.0,34.2400016784668,35.1018180847168,27.47943115234375
ALEC,1850000000.0,1580000000.0,84.37,10.05,8.68,12.33,-0.16620000000000001,-0.1725,-0.0308,-0.1018,197940000.0,2.48,29.897,-135770000.0,-27910000.0,-32900000.0,-0.42,777850000.0,9.57,48620000.0,14.48,5.93,4.13,300160000.0,79100000.0,22.81999969482422,20.829999923706055,10.53499984741211
ALGN,52470000000.0,51480000000.0,15.24,15.5,50.67,178.27,0.19699999999999998,0.2579,0.12029999999999999,0.226,3760000000.0,47.58,0.384,1760000000.0,1070000000.0000001,740050000.0,9.28,1240000000.0,15.7,96520000.0,2.74,1.37,44.6,1280000000.0,781200000.0,665.4299926757812,611.0,327.3599853515625
ALGT,3530000000.0,4059999999.9999995,2.66,3.08,8.83,35.97,0.0771,0.0209,0.0055000000000000005,0.11810000000000001,1460000000.0,86.86,1.286,121330000.0,161450000.0,110280000.0,6.57,1070000000.0000001,60.09,1700000000.0,142.91,1.91,66.99,331490000.0,-75400000.0,195.47999572753906,194.0,119.80000305175781
ALJJ,76600000.0,209530000.0,0.17,5.15,2.03,47.13,-0.01,0.0204,0.0301,-0.507,466090000.0,11.02,0.20199999999999999,75150000.0,30080000.0,-6910000.0,-0.11,8410000.0,0.2,137680000.0,1208.03,1.36,0.27,26270000.0,15810000.0,1.059999942779541,1.809999942779541,0.7300000190734863
ALKS,4990000000.0,4870000000.0,4.48,4.54,16.57,-1040.0,-0.0812,-0.0553,-0.020099999999999996,-0.08410000000000001,1130000000.0,7.05,0.11,860440000.0,15440000.0,-91680000.0,-0.57,560300000.0,3.46,419840000.0,38.3,2.33,6.78,138040000.0,135210000.0,30.84000015258789,24.520000457763672,16.56999969482422
ALLT,539220000.0,440330000.0,3.76,4.23,11.54,-516.82,-0.0883,-0.07690000000000001,-0.034300000000000004,-0.09910000000000001,143720000.0,4.02,0.098,95840000.0,-5770000.0,-12690000.0,-0.36,97400000.0,2.68,2520000.0,1.99,2.75,3.5,-3650000.0,-12290000.0,14.859999656677246,19.829999923706055,9.100000381469727
ALNY,22560000000.0,21420000000.0,32.07,26.3,114.16,-140.76,-1.1181999999999999,-0.9453,-0.1306,-0.8503000000000001,749310000.0,6.37,0.491,414800000.0,-661730000.0,-837900000.0,-7.13,2330000000.0,19.46,760440000.0,100.6,4.38,6.33,-614700000.0,136810000.0,188.80999755859375,169.52000427246094,145.60000610351562
ALOT,116060000.0,119750000.0,1.01,1.54,4.01,13.7,0.0727,0.046799999999999994,0.0294,0.1091,116380000.0,16.28,0.079,41360000.0,10570000.0,8460000.0,1.16,11390000.0,1.57,10770000.0,13.05,3.62,11.42,11870000.0,9540000.0,15.050000190734863,13.920000076293945,8.020000457763672
ALPN,311750000.0,243090000.0,13.95,7.11,28.55,-18.62,-1.6903,-1.6674,-0.1321,-0.4363,24560000.0,1.02,3.452,-17850000.0,-40300000.0,-41510000.0,-1.72,180630000.0,6.18,21100000.0,17.18,2.87,4.2,-9870000.0,2320000.0,10.670000076293945,9.0,8.789999961853027
ALPP,368250000.0,391610000.0,8.61,7.85,22.51,92.09,-0.2375,-0.2525,-0.1104,-0.6143,46780000.0,0.3,0.993,5360000.0,-8470000.0,-11110000.0,-0.071,5430000.0,0.03,33540000.0,67.4,1.39,0.3,-21940000.0,-18100000.0,2.200000047683716,3.2899999618530273,0.03999999910593033
ALRM,3910000000.0,3710000000.0,5.89,6.82,19.29,136.95,0.0821,0.10859999999999999,0.0519,0.10949999999999999,719250000.0,14.49,0.21100000000000002,390570000.0,102110000.0,59080000.0,1.14,700310000.0,13.99,463680000.0,76.13,8.56,11.94,118600000.0,101970000.0,78.19000244140625,84.69999694824219,55.25
ALT,449040000.0,232860000.0,68.05,1.86,1480.0,-7.02,0.0,-23.2496,-0.21309999999999998,-0.40990000000000004,3450000.0,0.09,-0.946,-25320000.0,-79590000.0,-83820000.0,-2.11,199880000.0,5.04,1630000.0,0.78,11.41,5.28,-69680000.0,-51250000.0,11.3100004196167,9.850000381469727,13.199999809265137
ALTO,359640000.0,402710000.0,0.37,1.17,1.32,127.97,-0.0104,0.0129,0.016399999999999998,-0.0373,991220000.0,14.13,0.493,52860000.0,33730000.0,-11520000.0,-0.168,36030000.0,0.5,100890000.0,33.06,2.68,4.19,-23660000.0,-50710000.0,4.940000057220459,6.110000133514404,7.309999942779541
ALTR,5430000000.0,5400000000.0,10.38,13.57,44.5,1310.0,-0.009899999999999999,0.038,0.0139,-0.0108,524820000.00000006,7.01,0.14,348620000.0,46210000.0,-5200000.0,-0.07,455860000.0,5.78,228750000.0,37.98,1.67,7.65,61100000.0,61850000.0,68.94000244140625,68.97000122070312,41.97999954223633
ALYA,217600000.0,273160000.0,0.67,1.49,2.59,94.59,-0.034,-0.0165,-0.011699999999999999,-0.0799,356780000.0,5.02,0.54,83020000.0,7180000.0,-12130000.0,-0.133,23560000.0,0.28,103010000.0,55.33,1.58,2.22,-8130000.000000001,2220000.0,2.5999999046325684,2.809999942779541,2.2300000190734863
AMAT,123390000000.0,122590000000.0,5.83,10.23,20.02,56.55,0.2553,0.3127,0.18710000000000002,0.5159,23060000000.0,25.34,0.306,10930000000.0,7610000000.0,5890000000.0,6.4,5460000000.0,6.08,5450000000.0,44.52,2.54,13.64,5440000000.0,3360000000.0,128.5225372314453,141.91090393066406,58.855751037597656
AMBA,6810000000.0,6370000000.0,24.74,13.54,69.16,-5260.0,-0.0978,-0.0973,-0.031200000000000002,-0.0599,303770000.0,8.41,0.643,135570000.0,-23910000.0,-29710000.0,-0.82,457760000.0,12.44,12550000.0,2.37,6.8,14.38,12480000.0,23940000.0,155.74000549316406,106.62999725341797,52.18000030517578
AMCX,1970000000.0,4010000000.0,0.74,2.68,4.95,8.31,0.1075,0.2491,0.0874,0.3124,3050000000.0,71.5,0.24,1520000000.0,856420000.0,328270000.0,7.5,870970000.0,20.61,3040000000.0,257.28,2.24,19.82,148630000.0,1390000000.0,46.59000015258789,66.80000305175781,24.709999084472656
AMD,124710000000.0,121470000000.0,9.33,17.65,28.16,108.27,0.2672,0.205,0.20929999999999999,0.7214,14850000000.0,12.25,0.54,4350000000.0,3420000000.0,3970000000.0,3.24,3610000000.0,2.99,702000000.0,9.84,2.24,5.89,3250000000.0,2440000000.0,102.9000015258789,93.93000030517578,81.98999786376953
AMED,4860000000.0,5050000000.0,2.25,5.56,9.13,65.88,0.0998,0.1206,0.09390000000000001,0.25989999999999996,2210000000.0,67.44,0.017,911150000.0,296590000.0,220180000.0,6.66,124460000.0,3.82,547280000.0,57.68,0.95,27.78,249640000.0,252050000.0,149.10000610351562,244.92999267578125,236.42999267578125
AMEH,4040000000.0,3880000000.0,5.34,10.07,17.17,29160.0,0.0928,0.1612,0.09029999999999999,0.1698,755600000.0,17.94,0.261,147970000.0,139260000.0,70140000.0,1.61,333330000.0,7.47,200860000.0,37.77,3.66,9.82,79920000.0,62930000.0,91.05000305175781,62.810001373291016,17.940000534057617
AMGN,120150000000.0,144850000000.0,4.86,14.57,21.6,43.88,0.2177,0.35,0.087,0.585,25770000000.0,44.89,0.044000000000000004,19270000000.0,12280000000.0,5610000000.0,9.7,12920000000.0,22.94,37580000000.0,457.33,1.64,14.54,8610000000.0,7390000000.0,210.8795166015625,239.86831665039062,244.86972045898438
AMKR,6090000000.0,6410000000.0,1.12,2.39,3.81,17.91,0.0956,0.11789999999999999,0.0782,0.2229,5780000000.0,23.77,0.24100000000000002,900810000.0,1240000000.0,553140000.0,2.27,790060000.0,3.23,1240000000.0,44.91,1.48,11.18,967600000.0,81990000.0,24.950000762939453,23.63646125793457,11.115528106689453
AMOT,460290000.0,567750000.0,1.15,2.91,5.49,43.25,0.06309999999999999,0.0684,0.0483,0.17,399720000.0,27.85,0.094,108580000.0,44980000.0,25230000.0,1.75,19210000.0,1.3,127470000.0,78.48,2.52,11.04,29740000.0,17940000.0,31.260801315307617,34.482330322265625,27.42693519592285
AMPH,912150000.0,861300000.0,2.46,2.16,7.68,19.28,0.0874,0.1294,0.0528,0.0857,412800000.0,8.66,0.345,143340000.0,76950000.0,36080000.0,0.72,114630000.0,2.4,106140000.0,24.67,3.1,8.97,74450000.0,49890000.0,19.010000228881836,20.15999984741211,18.75
AMRK,681340000.0,863480000.0,0.07,1.88,0.43,18.55,0.021,0.020499999999999997,0.0917,0.6663,7760000000.0,825.6,0.079,210200000.0,176770000.0,162580000.0,16.09,29610000.0,2.61,589800000.0,158.71,1.34,32.61,-24320000.0,2290000.0,60.02000045776367,44.977657318115234,31.03531265258789
AMRN,2020000000.0,1520000000.0,3.26,3.13,10.68,-128.67,-0.0034000000000000002,0.0258,0.0098,-0.0033,605950000.0,1.54,-0.092,482620000.0,18230000.0,-2040000.0,-0.011,479140000.0,1.21,10460000.0,1.63,2.64,1.62,-76620000.0,-59270000.0,5.099999904632568,4.380000114440918,4.210000038146973
AMSC,419800000.0,368670000.0,4.02,3.54,13.21,-68.67,-0.2587,-0.2639,-0.10949999999999999,-0.2782,98120000.0,3.7,0.322,18450000.0,-19930000.0,-25390000.0,-0.96,48500000.0,1.71,3910000.0,3.37,1.79,4.09,-13860000.0,-1210000.0,14.579999923706055,17.389999389648438,14.479999542236328
AMSWA,963030000.0,856260000.0,8.53,7.61,27.43,312.5,0.09960000000000001,0.0626,0.026600000000000002,0.09380000000000001,116730000.0,3.54,0.11900000000000001,60980000.0,7670000.0,11620000.0,0.34,111360000.0,3.34,1330000.0,1.03,2.98,3.87,18700000.0,15270000.0,23.663406372070312,21.770532608032227,13.677654266357422
AMWD,1140000000.0,1730000000.0,0.65,1.55,3.82,59.71,0.0137,0.034,0.023399999999999997,0.0331,1800000000.0,107.24,0.01,319270000.0,148600000.0,24590000.0,1.46,8010000.0,0.48,629560000.0,84.72,1.9,44.85,65019999.99999999,17490000.0,65.37000274658203,81.69000244140625,78.54000091552734
AMYT,748890000.0,804900000.0,2.03,15.48,14.24,-71.62,-0.4164,0.036699999999999997,0.0070999999999999995,-0.46,210240000.0,5.32,0.146,91190000.0,-23980000.0,-87530000.0,-2.24,123130000.0,1.94,202130000.0,66.05,1.8,4.83,-86120000.0,11330000.0,12.045000076293945,12.130000114440918,12.359999656677246
